,!=,&&,(,),+,++,",",-,;,=,==,CADENA,ENTERO,ID,alert,boolean,false,for,function,if,input,let,number,return,string,true,{,||,},$
A,,,,58,,,,,,,,,,,,57,,,,,,,57,,57,,,,,
B,,,,,,,,,,,,,,,,,,34,,33,,32,,,,,,,,
C,,,,,,7,,,,,,,,7,7,,,6,,6,7,6,,7,,,,,8,
D,31,31,30,31,31,,31,31,31,,31,,,,,,,,,,,,,,,,,31,,
E,,,9,,,9,,,,,,9,9,9,,,9,,,,,,,,,9,,,,
F,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
G,,,42,,,,,,,41,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,53,,52,,,,,,,52,,52,,,,,
I,,13,,14,,,14,,14,,,,,,,,,,,,,,,,,,,14,,
J,22,22,,22,20,,22,21,22,,22,,,,,,,,,,,,,,,,,22,,
K,,,,60,,,59,,,,,,,,,,,,,,,,,,,,,,,
L,,,48,49,,48,,,,,,48,48,48,,,48,,,,,,,,,48,,,,
M,,,,37,,38,,,,,,,,37,,,,,,,,,,,,,,,,
N,,,,36,,,,,36,,,,,35,,,,,,,,,,,,,,,,
O,16,18,,18,,,18,,18,,17,,,,,,,,,,,,,,,,,18,,
P,,,,,,3,,,,,,,,3,3,,,1,2,1,3,1,,3,,,,,,4
Q,,,,51,,,50,,,,,,,,,,,,,,,,,,,,,,,
R,,,12,,,12,,,,,,12,12,12,,,12,,,,,,,,,12,,,,
S,,,,,,40,,,,,,,,39,44,,,,,,43,,,45,,,,,,
T,,,,,,,,,,,,,,,,54,,,,,,,56,,55,,,,,
U,,,15,,,15,,,,,,15,15,15,,,15,,,,,,,,,15,,,,
V,,,19,,,19,,,,,,19,19,19,,,19,,,,,,,,,19,,,,
W,,,24,,,23,,,,,,27,26,25,,,29,,,,,,,,,28,,,,
X,,,46,,,46,,,47,,,46,46,46,,,46,,,,,,,,,46,,,,
Y,,,,11,,,11,,11,,,,,,,,,,,,,,,,,,,10,,

